UP000000212	GCA_000317975.2
UP000018219	GCA_000437135.1
UP000018220	GCA_000436115.1
UP000018221	GCA_000431635.1
UP000018223	GCA_000435375.1
UP000018225	GCA_000433335.1
UP000018227	GCA_000160035.2
UP000018228	GCA_000434215.1
UP000018230	GCA_000433615.1
UP000018231	GCA_000432975.1
UP000018232	GCA_000433315.1
UP000018237	GCA_000435395.1
UP000018241	GCA_000431835.1
UP000018242	GCA_000431515.1
UP000018243	GCA_000432075.1
UP000018244	GCA_000433755.1
UP000018246	GCA_000433395.1
UP000018253	GCA_000498475.1
UP000018256	GCA_000433775.1
UP000018259	GCA_000434295.1
UP000018260	GCA_000435615.1
UP000018261	GCA_000431415.1
UP000018262	GCA_000433535.1
UP000018263	GCA_000435795.1
UP000018266	GCA_000435675.1
UP000018268	GCA_000431375.1
UP000018269	GCA_000432135.1
UP000018274	GCA_000431315.1
UP000018275	GCA_000431935.1
UP000018278	GCA_000431795.1
UP000018279	GCA_000436735.1
UP000018280	GCA_000433455.1
UP000018281	GCA_000438095.1
UP000018282	GCA_000437295.1
UP000018284	GCA_000434655.1
UP000018289	GCA_000437635.1
UP000018290	GCA_000432375.1
UP000018291	GCA_000455525.1
UP000018292	GCA_000434115.1
UP000018293	GCA_000434935.1
UP000018294	GCA_000436935.1
UP000018295	GCA_000434515.1
UP000018296	GCA_000497245.1
UP000018297	GCA_000431235.1
UP000018299	GCA_000435535.1
UP000018300	GCA_000432395.1
UP000018302	GCA_000435195.1
UP000018303	GCA_000432835.1
UP000018308	GCA_000437715.1
UP000018309	GCA_000432275.1
UP000018310	GCA_000433915.1
UP000018312	GCA_000431895.1
UP000018313	GCA_000437455.1
UP000018314	GCA_000433175.1
UP000018315	GCA_000436215.1
UP000018316	GCA_000498935.1
UP000018318	GCA_000432355.1
UP000018319	GCA_000434035.1
UP000018325	GCA_000436975.1
UP000018327	GCA_000438355.1
UP000018328	GCA_000437595.1
UP000018329	GCA_000434235.1
UP000018332	GCA_000434355.1
UP000018333	GCA_000437195.1
UP000018336	GCA_000434275.1
UP000018337	GCA_000447225.1
UP000018338	GCA_000432875.1
UP000018340	GCA_000431855.1
UP000018341	GCA_000433235.1
UP000018342	GCA_000432315.1
UP000018343	GCA_000436015.1
UP000018345	GCA_000434075.1
UP000018346	GCA_000433795.1
UP000018347	GCA_000431435.1
UP000018353	GCA_000431275.1
UP000018355	GCA_000437755.1
UP000018357	GCA_000431975.1
UP000018358	GCA_000434535.1
UP000018359	GCA_000434975.1
UP000018360	GCA_000433035.1
UP000018361	GCA_000435255.1
UP000018363	GCA_000437875.1
UP000018364	GCA_000436335.1
UP000018365	GCA_000435155.1
UP000018368	GCA_000431655.1
UP000018370	GCA_000434015.1
UP000018372	GCA_000433715.1
UP000018373	GCA_000433995.1
UP000018374	GCA_000434195.1
UP000018375	GCA_000437795.1
UP000018377	GCA_000437175.1
UP000018378	GCA_000432675.1
UP000018381	GCA_000438055.1
UP000018382	GCA_000432995.1
UP000018383	GCA_000438335.1
UP000018384	GCA_000432915.1
UP000018385	GCA_000437015.1
UP000018386	GCA_000432335.1
UP000018387	GCA_000434695.1
UP000018389	GCA_000438075.1
UP000018390	GCA_000435075.1
UP000018392	GCA_000434735.1
UP000018393	GCA_000431675.1
UP000018396	GCA_000435895.1
UP000018397	GCA_000438175.1
UP000018398	GCA_000435515.1
UP000018401	GCA_000433675.1
UP000018402	GCA_000431075.1
UP000018403	GCA_000435495.1
UP000018406	GCA_000432295.1
UP000018407	GCA_000433955.1
UP000018408	GCA_000437315.1
UP000018410	GCA_000433195.1
UP000018411	GCA_000432435.1
UP000018414	GCA_000436835.1
UP000018418	GCA_000488275.1
UP000018419	GCA_000175675.1
UP000018432	GCA_000349685.1
UP000018435	GCA_000225995.2
UP000018436	GCA_000161975.1
UP000018439	GCA_000212915.1
UP000018451	GCA_000209385.2
UP000018458	GCA_000188195.1
UP000018460	GCA_000368865.1
UP000018461	GCA_000238055.2
UP000018466	GCA_000242235.1
UP000018467	GCA_000372685.2
UP000018468	GCA_000242695.1
UP000018482	GCA_000323065.2
UP000018503	GCA_000500915.1
UP000018523	GCA_000503915.1
UP000018524	GCA_000503055.1
UP000018542	GCA_000503895.1
UP000018547	GCA_000505065.1
UP000018548	GCA_000504585.2
UP000018550	GCA_000500935.1
UP000018556	GCA_000503835.1
UP000018559	GCA_000504525.1
UP000018580	GCA_000504125.1
UP000018666	GCA_000506245.1
UP000018680	GCA_000507245.1
UP000018688	GCA_000507865.1
UP000018689	GCA_000508225.1
UP000018700	GCA_000510265.1
UP000018721	GCA_000365505.1
UP000018731	GCA_000507845.1
UP000018745	GCA_000508245.1
UP000018763	GCA_000317305.3
UP000018766	GCA_000506865.1
UP000018769	GCA_000513475.1
UP000018780	GCA_000511355.1
UP000018781	GCA_000511305.1
UP000018817	GCA_000247585.2
UP000018823	GCA_000511775.1
UP000018838	GCA_000512355.1
UP000018840	GCA_000508525.1
UP000018843	GCA_000508625.1
UP000018849	GCA_000416645.2
UP000018850	GCA_000511935.2
UP000018851	GCA_000512205.2
UP000018861	GCA_000511735.1
UP000018865	GCA_000508605.1
UP000018867	GCA_000508185.1
UP000018868	GCA_000510425.1
UP000018869	GCA_000511135.2
UP000018877	GCA_000508325.2
UP000018888	GCA_000439145.2
UP000018890	GCA_000513095.1
UP000018894	GCA_000513435.1
UP000018895	GCA_000513115.1
UP000018896	GCA_000513135.1
UP000018901	GCA_000512915.1
UP000018922	GCA_000513295.1
UP000018936	GCA_000516915.1
UP000018945	GCA_000516795.1
UP000018951	GCA_000512675.1
UP000018967	GCA_000513555.1
UP000018975	GCA_000516555.1
UP000018979	GCA_000513215.1
UP000019023	GCA_000517565.1
UP000019024	GCA_000517625.1
UP000019025	GCA_000517405.1
UP000019027	GCA_000517445.1
UP000019028	GCA_000517425.1
UP000019030	GCA_000520015.2
UP000019031	GCA_000517305.1
UP000019040	GCA_000520075.1
UP000019050	GCA_000160075.2
UP000019060	GCA_000520835.1
UP000019062	GCA_000518005.1
UP000019063	GCA_000520615.1
UP000019080	GCA_000521405.1
UP000019081	GCA_000521425.1
UP000019082	GCA_000521385.1
UP000019083	GCA_000521445.1
UP000019095	GCA_000521505.1
UP000019102	GCA_000521485.1
UP000019103	GCA_000521095.1
UP000019109	GCA_000521465.1
UP000019112	GCA_000469665.2
UP000019113	GCA_000470745.1
UP000019131	GCA_000517545.1
UP000019132	GCA_000143045.1
UP000019140	GCA_000522445.1
UP000019141	GCA_000522425.1
UP000019145	GCA_000523515.1
UP000019148	GCA_000523535.1
UP000019149	GCA_000524195.1
UP000019150	GCA_000523235.1
UP000019151	GCA_000522985.1
UP000019183	GCA_000529895.1
UP000019184	GCA_000531125.1
UP000019189	GCA_000530175.1
UP000019190	GCA_000529425.1
UP000019191	GCA_000529945.1
UP000019194	GCA_000529265.1
UP000019197	GCA_000531755.1
UP000019202	GCA_000531455.1
UP000019205	GCA_000153125.2
UP000019222	GCA_000550805.1
UP000019225	GCA_000525635.1
UP000019226	GCA_000550785.1
UP000019229	GCA_000524555.1
UP000019231	GCA_000550765.1
UP000019232	GCA_000525655.1
UP000019233	GCA_000525675.1
UP000019242	GCA_000525935.1
UP000019243	GCA_000525915.1
UP000019246	GCA_000525795.1
UP000019247	GCA_000565485.1
UP000019249	GCA_000525875.1
UP000019260	GCA_000565195.1
UP000019265	GCA_000565215.1
UP000019267	GCA_000565175.1
UP000019276	GCA_000568405.1
UP000019277	GCA_000564855.1
UP000019279	GCA_000568385.1
UP000019325	GCA_000340565.3
UP000019335	GCA_000569095.1
UP000019362	GCA_000576245.1
UP000019364	GCA_000576305.1
UP000019365	GCA_000571935.1
UP000019372	GCA_000576325.1
UP000019373	GCA_000464535.1
UP000019374	GCA_000448365.1
UP000019376	GCA_000346795.1
UP000019377	GCA_000497045.1
UP000019384	GCA_000576695.1
UP000019401	GCA_000583715.2
UP000019402	GCA_000583675.1
UP000019423	GCA_000576555.1
UP000019426	GCA_000577895.1
UP000019430	GCA_000583775.1
UP000019442	GCA_000583815.1
UP000019450	GCA_000582535.1
UP000019464	GCA_000585235.1
UP000019471	GCA_000585535.1
UP000019473	GCA_000585515.1
UP000019474	GCA_000512295.1
UP000019475	GCA_000582595.1
UP000019478	GCA_000585565.1
UP000019482	GCA_000577845.1
UP000019483	GCA_000504205.1
UP000019484	GCA_000585585.1
UP000019485	GCA_000504285.1
UP000019486	GCA_000576635.1
UP000019487	GCA_000503235.1
UP000019488	GCA_000583655.1
UP000019489	GCA_000576595.1
UP000019494	GCA_000576575.1
UP000019504	GCA_000586495.1
UP000019522	GCA_000590475.1
UP000019591	GCA_000597865.1
UP000019593	GCA_000590925.1
UP000019656	GCA_000599985.1
UP000019666	GCA_000600335.2
UP000019668	GCA_000600005.1
UP000019678	GCA_000601485.1
UP000019681	GCA_000601455.1
UP000019753	GCA_000603945.1
UP000019754	GCA_000338055.1
UP000019755	GCA_000349565.1
UP000019760	GCA_000617865.1
UP000019763	GCA_000223845.4
UP000019767	GCA_000613065.1
UP000019771	GCA_000612055.1
UP000019772	GCA_000612505.1
UP000019804	GCA_000600275.1
UP000019805	GCA_000612685.1
UP000019849	GCA_000585625.1
UP000019863	GCA_000502375.1
UP000019918	GCA_000590885.1
UP000020060	GCA_000611795.1
UP000020077	GCA_000585035.2
UP000020164	GCA_000585255.1
UP000020180	GCA_000502955.1
UP000020218	GCA_000585015.1
UP000020226	GCA_000584995.1
UP000020406	GCA_000576405.1
UP000020425	GCA_000524055.1
UP000020467	GCA_000582985.1
UP000020681	GCA_000524035.1
UP000020766	GCA_000590985.1
UP000020878	GCA_000585095.1
UP000021053	GCA_000585375.1
UP000021315	GCA_000584975.2
UP000021443	GCA_000576675.1
UP000021537	GCA_000588875.1
UP000022044	GCA_000524095.1
UP000022141	GCA_000585075.1
UP000022206	GCA_000582475.1
UP000022447	GCA_000521785.1
UP000022611	GCA_000217955.3
UP000022668	GCA_000525025.1
UP000022729	GCA_000523595.1
UP000022910	GCA_000597685.1
UP000023044	GCA_000585335.1
UP000023067	GCA_000576425.1
UP000023152	GCA_000512085.1
UP000023196	GCA_000504185.2
UP000023198	GCA_000523715.1
UP000023430	GCA_000521865.1
UP000023435	GCA_000604005.2
UP000023482	GCA_000565015.1
UP000023541	GCA_000626715.1
UP000023560	GCA_000611145.2
UP000023561	GCA_000632715.1
UP000023703	GCA_000626675.1
UP000023755	GCA_000632985.1
UP000023772	GCA_000626635.1
UP000023775	GCA_000367845.1
UP000023785	GCA_000488215.1
UP000023788	GCA_000368425.1
UP000023795	GCA_000320365.1
UP000023816	GCA_000632455.1
UP000024001	GCA_000632065.1
UP000024332	GCA_000632495.1
UP000024375	GCA_000520115.1
UP000024387	GCA_000632805.1
UP000024404	GCA_000499405.2
UP000024533	GCA_000622975.1
UP000024635	GCA_000688135.1
UP000024810	GCA_000638495.1
UP000024836	GCA_000671395.1
UP000024837	GCA_000525045.1
UP000024938	GCA_000682775.1
UP000024941	GCA_000470885.1
UP000025047	GCA_000600975.2
UP000025063	GCA_000647895.1
UP000025171	GCA_000685275.1
UP000025227	GCA_000469685.1
UP000025229	GCA_000661895.1
UP000025241	GCA_000689415.1
UP000025842	GCA_000689175.1
UP000026042	GCA_000690575.1
UP000026249	GCA_000647975.1
UP000026305	GCA_000687435.1
UP000026714	GCA_000689195.1
UP000026915	GCA_000403535.1
UP000026917	GCA_000349545.1
UP000026918	GCA_000695235.1
UP000026922	GCA_000388175.3
UP000026960	GCA_000182155.3
UP000026961	GCA_000576495.1
UP000026962	GCA_000573905.1
UP000027002	GCA_000687475.1
UP000027005	GCA_000691365.1
UP000027006	GCA_000682675.1
UP000027014	GCA_000698125.1
UP000027020	GCA_000687455.2
UP000027027	GCA_000691505.2
UP000027042	GCA_000695385.1
UP000027064	GCA_000695795.1
UP000027073	GCA_000697685.1
UP000027080	GCA_000582765.1
UP000027084	GCA_000681355.2
UP000027088	GCA_000695835.1
UP000027090	GCA_000695565.1
UP000027093	GCA_000698785.1
UP000027096	GCA_000685355.1
UP000027109	GCA_000709395.1
UP000027120	GCA_000695605.1
UP000027129	GCA_000685785.1
UP000027135	GCA_000696155.1
UP000027138	GCA_000696525.1
UP000027142	GCA_000706725.1
UP000027145	GCA_000686505.1
UP000027148	GCA_000709555.1
UP000027153	GCA_000685155.1
UP000027154	GCA_000690055.1
UP000027177	GCA_000698145.1
UP000027178	GCA_000696185.1
UP000027192	GCA_000695255.1
UP000027195	GCA_000697705.1
UP000027222	GCA_000697645.1
UP000027238	GCA_000696135.1
UP000027249	GCA_000696485.1
UP000027265	GCA_000697665.1
UP000027284	GCA_000687145.1
UP000027318	GCA_000691225.1
UP000027336	GCA_000706645.1
UP000027337	GCA_000647535.1
UP000027341	GCA_000696325.1
UP000027360	GCA_000710935.1
UP000027361	GCA_000711695.1
UP000027395	GCA_000710505.1
UP000027432	GCA_000714535.1
UP000027440	GCA_000696815.1
UP000027456	GCA_000715385.1
UP000027466	GCA_000698595.1
UP000027470	GCA_000258005.2
UP000027471	GCA_000714545.1
UP000027583	GCA_000724025.1
UP000027586	GCA_000723665.1
UP000027590	GCA_000723565.1
UP000027601	GCA_000613825.1
UP000027602	GCA_000724485.1
UP000027604	GCA_000723165.1
UP000027616	GCA_000723505.1
UP000027647	GCA_000715015.1
UP000027665	GCA_000712295.1
UP000027725	GCA_000715505.1
UP000027726	GCA_000705335.1
UP000027730	GCA_000721765.1
UP000027734	GCA_000712275.1
UP000027746	GCA_000712315.1
UP000027778	GCA_000712615.1
UP000027821	GCA_000714815.1
UP000027822	GCA_000712595.1
UP000027824	GCA_000705255.1
UP000027866	GCA_000714795.1
UP000027879	GCA_000715355.1
UP000027898	GCA_000708185.1
UP000027920	GCA_000709125.1
UP000027931	GCA_000714935.1
UP000027946	GCA_000699585.1
UP000027980	GCA_000725365.1
UP000027981	GCA_000725425.1
UP000027982	GCA_000724625.1
UP000027983	GCA_000725345.1
UP000027985	GCA_000725285.1
UP000027986	GCA_000725405.1
UP000027997	GCA_000710775.1
UP000028006	GCA_000722565.1
UP000028007	GCA_000722885.1
UP000028058	GCA_000700005.1
UP000028073	GCA_000722635.1
UP000028104	GCA_000724175.1
UP000028123	GCA_000722545.1
UP000028160	GCA_000732325.1
UP000028183	GCA_000730245.1
UP000028206	GCA_000725145.1
UP000028252	GCA_000705555.1
UP000028302	GCA_000732535.1
UP000028323	GCA_000725195.1
UP000028341	GCA_000725125.1
UP000028393	GCA_000725165.1
UP000028405	GCA_000725175.1
UP000028428	GCA_000725245.1
UP000028439	GCA_000725185.1
UP000028481	GCA_000734015.1
UP000028504	GCA_000732945.1
UP000028521	GCA_000733475.1
UP000028524	GCA_000732775.1
UP000028525	GCA_000732605.1
UP000028527	GCA_000732485.2
UP000028540	GCA_000732765.1
UP000028542	GCA_000732635.1
UP000028545	GCA_000732125.1
UP000028549	GCA_000709935.2
UP000028569	GCA_000706765.1
UP000028590	GCA_000737515.1
UP000028591	GCA_000737535.1
UP000028600	GCA_000735365.1
UP000028601	GCA_000735635.1
UP000028602	GCA_000735525.1
UP000028607	GCA_000737065.1
UP000028622	GCA_000735605.1
UP000028624	GCA_000735425.1
UP000028629	GCA_000735265.1
UP000028630	GCA_000734965.1
UP000028631	GCA_000737245.1
UP000028634	GCA_000736715.1
UP000028636	GCA_000735535.1
UP000028638	GCA_000735585.1
UP000028641	GCA_000735135.1
UP000028653	GCA_000735355.1
UP000028680	GCA_000738435.1
UP000028700	GCA_000740055.1
UP000028702	GCA_000739695.1
UP000028705	GCA_000737705.1
UP000028709	GCA_000737775.1
UP000028713	GCA_000737665.1
UP000028715	GCA_000737685.1
UP000028720	GCA_000736515.1
UP000028725	GCA_000737315.1
UP000028730	GCA_000737845.1
UP000028732	GCA_000737985.1
UP000028760	GCA_000485575.1
UP000028761	GCA_000264685.2
UP000028780	GCA_000739455.1
UP000028824	GCA_000740785.1
UP000028825	GCA_000739015.1
UP000028826	GCA_000740795.1
UP000028843	GCA_000740675.1
UP000028863	GCA_000612865.1
UP000028867	GCA_000612825.1
UP000028868	GCA_000731155.1
UP000028870	GCA_000613185.1
UP000028875	GCA_000723585.1
UP000028880	GCA_000689255.1
UP000028883	GCA_000582705.1
UP000028921	GCA_000735125.1
UP000028923	GCA_000738085.1
UP000028924	GCA_000733215.1
UP000028926	GCA_000742835.1
UP000028931	GCA_000746525.1
UP000028933	GCA_000495935.2
UP000028936	GCA_000746585.2
UP000028939	GCA_000747315.1
UP000028945	GCA_000743945.1
UP000028946	GCA_000743035.1
UP000028981	GCA_000743575.1
UP000028984	GCA_000741695.1
UP000028990	GCA_000743615.1
UP000028992	GCA_000747525.1
UP000028999	GCA_000751015.1
UP000029004	GCA_000741785.1
UP000029010	GCA_000743525.1
UP000029014	GCA_000741645.1
UP000029015	GCA_000741095.1
UP000029033	GCA_000741405.1
UP000029046	GCA_000741215.1
UP000029050	GCA_000741705.1
UP000029052	GCA_000741255.1
UP000029055	GCA_000741775.1
UP000029066	GCA_000741715.1
UP000029067	GCA_000741575.1
UP000029072	GCA_000741175.1
UP000029079	GCA_000750515.1
UP000029080	GCA_000741765.1
UP000029082	GCA_000741285.1
UP000029085	GCA_000743535.1
UP000029095	GCA_000739045.1
UP000029096	GCA_000741525.1
UP000029097	GCA_000743635.1
UP000029104	GCA_000691445.1
UP000029108	GCA_000741165.1
UP000029120	GCA_000733195.1
UP000029121	GCA_000375325.1
UP000029122	GCA_000754155.1
UP000029221	GCA_000755305.1
UP000029223	GCA_000755405.1
UP000029224	GCA_000755425.1
UP000029225	GCA_000755365.1
UP000029247	GCA_000755185.1
UP000029252	GCA_000754455.1
UP000029254	GCA_000753575.1
UP000029264	GCA_000753795.1
UP000029266	GCA_000754505.1
UP000029268	GCA_000750815.1
UP000029270	GCA_000750875.1
UP000029273	GCA_000754095.2
UP000029276	GCA_000753855.1
UP000029278	GCA_000746875.1
UP000029283	GCA_000747625.2
UP000029284	GCA_000750925.1
UP000029285	GCA_000750115.1
UP000029288	GCA_000750755.1
UP000029295	GCA_000750895.1
UP000029299	GCA_000750735.1
UP000029302	GCA_000750805.1
UP000029304	GCA_000754445.1
UP000029305	GCA_000754585.1
UP000029308	GCA_000750995.1
UP000029310	GCA_000754605.1
UP000029313	GCA_000747095.1
UP000029315	GCA_000750935.1
UP000029316	GCA_000754435.1
UP000029320	GCA_000750665.1
UP000029322	GCA_000754425.1
UP000029324	GCA_000750175.1
UP000029327	GCA_000750745.1
UP000029329	GCA_000750675.1
UP000029338	GCA_000750715.1
UP000029381	GCA_000747245.1
UP000029385	GCA_000747135.1
UP000029387	GCA_000746685.1
UP000029391	GCA_000747175.1
UP000029392	GCA_000747075.1
UP000029393	GCA_000747155.1
UP000029408	GCA_000755705.1
UP000029431	GCA_000511405.1
UP000029445	GCA_000149475.3
UP000029453	GCA_000315235.1
UP000029462	GCA_000759795.1
UP000029482	GCA_000761215.1
UP000029487	GCA_000758645.1
UP000029493	GCA_000759535.1
UP000029494	GCA_000761135.1
UP000029499	GCA_000761155.1
UP000029507	GCA_000758685.1
UP000029508	GCA_000758525.1
UP000029512	GCA_000758605.1
UP000029519	GCA_000758545.1
UP000029524	GCA_000756565.1
UP000029539	GCA_000758845.1
UP000029541	GCA_000756435.3
UP000029548	GCA_000758965.1
UP000029554	GCA_000757385.1
UP000029569	GCA_000759055.1
UP000029574	GCA_000756375.1
UP000029576	GCA_000758865.1
UP000029577	GCA_000757425.2
UP000029597	GCA_000758925.1
UP000029601	GCA_000758905.1
UP000029602	GCA_000757525.1
UP000029604	GCA_000758755.1
UP000029621	GCA_000759145.1
UP000029622	GCA_000761095.1
UP000029625	GCA_000756385.1
UP000029628	GCA_000759285.1
UP000029629	GCA_000759065.1
UP000029640	GCA_000764025.1
UP000029644	GCA_000764755.1
UP000029665	GCA_000765035.1
UP000029692	GCA_000758165.1
UP000029701	GCA_000759615.1
UP000029706	GCA_000759435.1
UP000029708	GCA_000761445.1
UP000029713	GCA_000761485.1
UP000029714	GCA_000762875.1
UP000029719	GCA_000759445.1
UP000029721	GCA_000758175.1
UP000029725	GCA_000760515.1
UP000029732	GCA_000762865.1
UP000029733	GCA_000763135.1
UP000029734	GCA_000757885.1
UP000029736	GCA_000759025.1
UP000029737	GCA_000763095.1
UP000029738	GCA_000760695.2
UP000029741	GCA_000891195.1
UP000029743	GCA_000918175.1
UP000029744	GCA_000890055.1
UP000029745	GCA_000898975.1
UP000029746	GCA_000887535.1
UP000029747	GCA_000918135.1
UP000029751	GCA_000897475.1
UP000029752	GCA_000908335.1
UP000029753	GCA_000885595.1
UP000029755	GCA_000874345.1
UP000029756	GCA_000895675.1
UP000029757	GCA_000847425.1
UP000029758	GCA_000905235.1
UP000029760	GCA_000894935.1
UP000029761	GCA_000887475.1
UP000029764	GCA_000896735.1
UP000029765	GCA_000882955.1
UP000029767	GCA_000904335.1
UP000029769	GCA_000850305.1
UP000029770	GCA_000904355.1
UP000029771	GCA_000861765.1
UP000029773	GCA_000879795.1
UP000029774	GCA_000884795.1
UP000029775	GCA_000887455.1
UP000029776	GCA_000896415.1
UP000029829	GCA_000765485.1
UP000029833	GCA_000767135.1
UP000029839	GCA_000767175.1
UP000029844	GCA_000766865.1
UP000029846	GCA_000763905.1
UP000029848	GCA_000764205.1
UP000029855	GCA_000766055.1
UP000029857	GCA_000765925.1
UP000029858	GCA_000763845.1
UP000029864	GCA_000764165.1
UP000029867	GCA_000764455.1
UP000029872	GCA_000765665.1
UP000029877	GCA_000767215.1
UP000029914	GCA_000767055.1
UP000029917	GCA_000763805.1
UP000029920	GCA_000765745.1
UP000029922	GCA_000765805.1
UP000029923	GCA_000765695.1
UP000029924	GCA_000764495.1
UP000029926	GCA_000765675.1
UP000029940	GCA_000895895.1
UP000029964	GCA_000769265.1
UP000029965	GCA_000409795.2
UP000029981	GCA_000004075.2
UP000029986	GCA_000597785.2
UP000029989	GCA_000768335.1
UP000029990	GCA_000768675.1
UP000029991	GCA_000766795.1
UP000029993	GCA_000768065.1
UP000029995	GCA_000767795.1
UP000029998	GCA_000768355.1
UP000030002	GCA_000768705.1
UP000030003	GCA_000769985.1
UP000030004	GCA_000768315.1
UP000030009	GCA_000765165.1
UP000030011	GCA_000768685.1
UP000030013	GCA_000768695.1
UP000030017	GCA_000768345.1
UP000030019	GCA_000767835.1
UP000030021	GCA_000768555.2
UP000030022	GCA_000768055.1
UP000030023	GCA_000769695.1
UP000030061	GCA_000499205.1
UP000030063	GCA_000498575.2
UP000030066	GCA_000770195.1
UP000030071	GCA_000772105.1
UP000030103	GCA_000769035.1
UP000030104	GCA_000769765.1
UP000030106	GCA_000770705.1
UP000030107	GCA_000768855.1
UP000030111	GCA_000769935.1
UP000030116	GCA_000768935.1
UP000030121	GCA_000769835.1
UP000030125	GCA_000768995.1
UP000030126	GCA_000768755.1
UP000030129	GCA_000769915.1
UP000030134	GCA_000769135.1
UP000030139	GCA_000768955.1
UP000030143	GCA_000769745.1
UP000030147	GCA_000770635.1
UP000030148	GCA_000769715.1
UP000030149	GCA_000769895.1
UP000030150	GCA_000768875.1
UP000030152	GCA_000769825.1
UP000030153	GCA_000770675.1
UP000030170	GCA_000775285.1
UP000030184	GCA_000775755.1
UP000030185	GCA_000775915.1
UP000030300	GCA_000785495.1
UP000030301	GCA_000785535.1
UP000030302	GCA_000786695.1
UP000030307	GCA_000784875.3
UP000030310	GCA_000784965.1
UP000030314	GCA_000775995.1
UP000030340	GCA_000416365.2
UP000030341	GCA_000788395.1
UP000030361	GCA_000785105.2
UP000030380	GCA_000772535.1
UP000030401	GCA_000775615.1
UP000030403	GCA_000775605.1
UP000030408	GCA_000772955.1
UP000030416	GCA_000772945.1
UP000030428	GCA_000785145.1
UP000030437	GCA_000773015.1
UP000030439	GCA_000770645.1
UP000030451	GCA_000775725.1
UP000030460	GCA_000785435.1
UP000030466	GCA_000786195.1
UP000030468	GCA_000785785.1
UP000030512	GCA_000785705.2
UP000030518	GCA_000770795.1
UP000030528	GCA_000775595.1
UP000030544	GCA_000786135.1
UP000030579	GCA_000213295.2
UP000030588	GCA_000786015.1
UP000030595	GCA_000772965.1
UP000030634	GCA_000800395.1
UP000030635	GCA_000789395.1
UP000030636	GCA_000800475.2
UP000030639	GCA_000416065.1
UP000030640	GCA_000524495.1
UP000030641	GCA_000721755.1
UP000030642	GCA_000416005.1
UP000030643	GCA_000691805.2
UP000030645	GCA_000414095.2
UP000030646	GCA_000400995.2
UP000030647	GCA_000469325.1
UP000030648	GCA_000496195.1
UP000030650	GCA_000416085.1
UP000030651	GCA_000516985.1
UP000030652	GCA_000786775.1
UP000030653	GCA_000292625.1
UP000030655	GCA_000385875.2
UP000030656	GCA_000521155.1
UP000030658	GCA_000568255.1
UP000030659	GCA_000524515.1
UP000030660	GCA_000496175.1
UP000030661	GCA_000739535.1
UP000030663	GCA_000260235.2
UP000030664	GCA_000786655.1
UP000030665	GCA_000613005.1
UP000030667	GCA_000496215.1
UP000030669	GCA_000344685.1
UP000030671	GCA_000320585.2
UP000030672	GCA_000721775.1
UP000030673	GCA_000401695.2
UP000030674	GCA_000416105.1
UP000030679	GCA_000496235.1
UP000030680	GCA_000341285.1
UP000030684	GCA_000311805.2
UP000030685	GCA_000260195.2
UP000030686	GCA_000513255.1
UP000030687	GCA_000493195.1
UP000030688	GCA_000150435.3
UP000030689	GCA_000478725.1
UP000030690	GCA_000521015.1
UP000030693	GCA_000388065.2
UP000030697	GCA_000401715.2
UP000030699	GCA_000521035.1
UP000030700	GCA_000739515.1
UP000030702	GCA_000787435.1
UP000030706	GCA_000721785.1
UP000030708	GCA_000521055.1
UP000030709	GCA_000723385.1
UP000030711	GCA_000612305.1
UP000030742	GCA_000346045.2
UP000030744	GCA_000499745.1
UP000030745	GCA_000151545.2
UP000030746	GCA_000327385.1
UP000030747	GCA_000499545.1
UP000030748	GCA_000504015.1
UP000030750	GCA_000499725.1
UP000030752	GCA_000365145.2
UP000030754	GCA_000499385.1
UP000030755	GCA_000442015.1
UP000030758	GCA_000701025.1
UP000030762	GCA_000281045.1
UP000030763	GCA_000499605.1
UP000030765	GCA_000441895.2
UP000030787	GCA_000800805.1
UP000030789	GCA_000801315.1
UP000030816	GCA_000804445.1
UP000030826	GCA_000800175.1
UP000030828	GCA_000789435.1
UP000030832	GCA_000787375.1
UP000030851	GCA_000787385.1
UP000030854	GCA_000798715.1
UP000030856	GCA_000787395.1
UP000030879	GCA_000786645.1
UP000030901	GCA_000807275.1
UP000030902	GCA_000803625.1
UP000030905	GCA_000807255.1
UP000030944	GCA_000812185.1
UP000030960	GCA_000807715.1
UP000030961	GCA_000806075.1
UP000030964	GCA_000806115.1
UP000030966	GCA_000806135.1
UP000030972	GCA_000813145.1
UP000030980	GCA_000806415.1
UP000030982	GCA_000802235.1
UP000030988	GCA_000802385.1
UP000030990	GCA_000806095.1
UP000030993	GCA_000803025.1
UP000031002	GCA_000802255.1
UP000031014	GCA_000813125.1
UP000031030	GCA_000802305.1
UP000031036	GCA_000803305.1
UP000031042	GCA_000805965.1
UP000031056	GCA_000803265.1
UP000031057	GCA_000802225.1
UP000031058	GCA_000806155.1
UP000031063	GCA_000802655.2
UP000031064	GCA_000801335.2
UP000031100	GCA_000747345.1
UP000031102	GCA_000816085.1
UP000031104	GCA_000815225.1
UP000031113	GCA_000816025.1
UP000031121	GCA_000814825.1
UP000031167	GCA_000813825.1
UP000031171	GCA_000814025.1
UP000031176	GCA_000814945.1
UP000031189	GCA_000808015.1
UP000031246	GCA_000812965.1
UP000031249	GCA_000753775.1
UP000031257	GCA_000817095.1
UP000031275	GCA_000812875.1
UP000031318	GCA_000813985.1
UP000031326	GCA_000814005.1
UP000031338	GCA_000807925.1
